trial,time,gnb_id,rsrp_avg_dbm,sinr_avg_db,prb_utilisation,dl_throughput_mbps,ul_throughput_mbps,packet_loss_rate,handover_success_rate,latency_avg_ms,fault_label
25,1.0000,0,-73.7699,20.1534,0.6523,126.1505,32.3068,0.0061,0.9804,19.1534,0
25,1.0000,1,-78.9206,16.7196,0.6008,100.3972,25.4393,0.0056,0.9718,18.2804,0
25,1.0000,2,-73.3594,20.4271,0.6564,128.2029,32.8541,0.0062,0.9811,19.4271,0
25,1.0000,3,-75.5733,18.9512,0.6343,117.1337,29.9023,0.0055,0.9774,17.9512,0
25,1.0000,4,-81.5101,14.9933,0.5749,87.4495,21.9865,0.0065,0.9675,20.0067,0
25,1.0000,5,-74.9416,19.3722,0.6406,120.2919,30.7445,0.0057,0.9784,18.3722,0
25,1.0000,6,-75.3144,19.1237,0.6369,118.4281,30.2475,0.0056,0.9778,18.1237,0
25,2.0000,0,-75.5067,18.9956,0.6349,117.4667,29.9911,0.0055,0.9775,17.9956,0
25,2.0000,1,-72.2882,21.1412,0.6671,133.5592,34.2825,0.0066,0.9829,20.1412,0
25,2.0000,2,-76.5914,18.2724,0.6241,112.0432,28.5449,0.0051,0.9757,17.2724,0
25,2.0000,3,-79.1116,16.5922,0.5989,99.4418,25.1845,0.0057,0.9715,18.4078,0
25,2.0000,4,-75.3260,19.1160,0.6367,118.3699,30.2320,0.0056,0.9778,18.1160,0
25,2.0000,5,-83.0520,13.9653,0.5595,79.7401,19.9307,0.0070,0.9649,21.0347,0
25,2.0000,6,-78.2405,17.1730,0.6076,103.7975,26.3460,0.0054,0.9729,17.8270,0
25,3.0000,0,-76.8865,18.0756,0.6211,110.5673,28.1513,0.0050,0.9752,17.0756,0
25,3.0000,1,-84.5394,12.9737,0.5446,72.3029,17.9475,0.0075,0.9624,22.0263,0
25,3.0000,2,-74.2380,19.8413,0.6476,123.8100,31.6827,0.0059,0.9796,18.8413,0
25,3.0000,3,-79.0402,16.6399,0.5996,99.7989,25.2797,0.0057,0.9716,18.3601,0
25,3.0000,4,-76.5005,18.3330,0.6250,112.4975,28.6660,0.0052,0.9758,17.3330,0
25,3.0000,5,-80.2335,15.8443,0.5877,93.8323,23.6886,0.0061,0.9696,19.1557,0
25,3.0000,6,-75.5511,18.9660,0.6345,117.2446,29.9319,0.0055,0.9774,17.9660,0
25,4.0000,0,-74.1677,19.8882,0.6483,124.1614,31.7764,0.0059,0.9797,18.8882,0
25,4.0000,1,-77.1492,17.9006,0.6185,109.2542,27.8011,0.0050,0.9748,17.0994,0
25,4.0000,2,-78.8144,16.7904,0.6019,100.9282,25.5809,0.0056,0.9720,18.2096,0
25,4.0000,3,-78.7007,16.8662,0.6030,101.4967,25.7325,0.0056,0.9722,18.1338,0
25,4.0000,4,-78.8366,16.7756,0.6016,100.8168,25.5511,0.0056,0.9719,18.2244,0
25,4.0000,5,-76.7834,18.1444,0.6222,111.0832,28.2888,0.0051,0.9754,17.1444,0
25,4.0000,6,-80.2153,15.8565,0.5878,93.9234,23.7129,0.0061,0.9696,19.1435,0
25,5.0000,0,-76.5083,18.3278,0.6249,112.4584,28.6556,0.0052,0.9758,17.3278,0
25,5.0000,1,-71.2296,21.8469,0.6777,138.8519,35.6938,0.0069,0.9846,20.8469,0
25,5.0000,2,-76.7715,18.1523,0.6223,111.1425,28.3047,0.0051,0.9754,17.1523,0
25,5.0000,3,-84.0773,13.2818,0.5492,74.6137,18.5637,0.0074,0.9632,21.7182,0
25,5.0000,4,-81.3525,15.0983,0.5765,88.2374,22.1966,0.0065,0.9677,19.9017,0
25,5.0000,5,-79.2464,16.5024,0.5975,98.7682,25.0049,0.0057,0.9713,18.4976,0
25,5.0000,6,-73.3248,20.4502,0.6568,128.3761,32.9003,0.0062,0.9811,19.4502,0
25,6.0000,0,-76.8403,18.1065,0.6216,110.7984,28.2129,0.0051,0.9753,17.1065,0
25,6.0000,1,-80.9346,15.3770,0.5807,90.3271,22.7539,0.0063,0.9684,19.6230,0
25,6.0000,2,-79.2620,16.4920,0.5974,98.6899,24.9840,0.0058,0.9712,18.5080,0
25,6.0000,3,-78.7137,16.8576,0.6029,101.4317,25.7151,0.0056,0.9721,18.1424,0
25,6.0000,4,-81.2611,15.1593,0.5774,88.6946,22.3186,0.0064,0.9679,19.8407,0
25,6.0000,5,-81.1747,15.2169,0.5783,89.1265,22.4337,0.0064,0.9680,19.7831,0
25,6.0000,6,-76.5332,18.3112,0.6247,112.3341,28.6224,0.0052,0.9758,17.3112,0
25,7.0000,0,-72.9144,20.7238,0.6609,130.4282,33.4475,0.0064,0.9818,19.7238,0
