trial,time,gnb_id,rsrp_avg_dbm,sinr_avg_db,prb_utilisation,dl_throughput_mbps,ul_throughput_mbps,packet_loss_rate,handover_success_rate,latency_avg_ms,fault_label
29,1.0000,0,-75.7288,18.8475,0.6327,116.3559,29.6949,0.0054,0.9771,17.8475,0
29,1.0000,1,-79.1510,16.5660,0.5985,99.2449,25.1320,0.0057,0.9714,18.4340,0
29,1.0000,2,-79.4685,16.3543,0.5953,97.6575,24.7087,0.0058,0.9709,18.6457,0
29,1.0000,3,-66.8360,24.7760,0.7216,160.8201,41.5520,0.0084,0.9919,23.7760,0
29,1.0000,4,-76.6689,18.2207,0.6233,111.6556,28.4415,0.0051,0.9756,17.2207,0
29,1.0000,5,-73.4189,20.3874,0.6558,127.9053,32.7747,0.0062,0.9810,19.3874,0
29,1.0000,6,-77.6269,17.5821,0.6137,106.8657,27.1642,0.0052,0.9740,17.4179,0
29,2.0000,0,-73.6895,20.2070,0.6531,126.5523,32.4139,0.0061,0.9805,19.2070,0
29,2.0000,1,-75.4350,19.0433,0.6357,117.8250,30.0867,0.0055,0.9776,18.0433,0
29,2.0000,2,-77.3751,17.7500,0.6162,108.1247,27.4999,0.0051,0.9744,17.2500,0
29,2.0000,3,-81.3838,15.0775,0.5762,88.0810,22.1549,0.0065,0.9677,19.9225,0
29,2.0000,4,-76.0759,18.6161,0.6292,114.6205,29.2321,0.0053,0.9765,17.6161,0
29,2.0000,5,-80.2024,15.8651,0.5880,93.9882,23.7302,0.0061,0.9697,19.1349,0
29,2.0000,6,-80.8047,15.4635,0.5820,90.9764,22.9270,0.0063,0.9687,19.5365,0
29,3.0000,0,-78.0200,17.3200,0.6098,104.9002,26.6401,0.0053,0.9733,17.6800,0
29,3.0000,1,-74.8266,19.4489,0.6417,120.8669,30.8978,0.0057,0.9786,18.4489,0
29,3.0000,2,-77.5209,17.6527,0.6148,107.3955,27.3055,0.0052,0.9741,17.3473,0
29,3.0000,3,-81.9904,14.6730,0.5701,85.0478,21.3461,0.0067,0.9667,20.3270,0
29,3.0000,4,-78.0717,17.2855,0.6093,104.6415,26.5711,0.0054,0.9732,17.7145,0
29,3.0000,5,-72.6030,20.9313,0.6640,131.9850,33.8627,0.0065,0.9823,19.9313,0
