trial,time,gnb_id,rsrp_avg_dbm,sinr_avg_db,prb_utilisation,dl_throughput_mbps,ul_throughput_mbps,packet_loss_rate,handover_success_rate,latency_avg_ms,fault_label
33,1.0000,0,-73.4673,20.3552,0.6553,127.6637,32.7103,0.0062,0.9809,19.3552,0
33,1.0000,1,-77.5025,17.6650,0.6150,107.4873,27.3300,0.0052,0.9742,17.3350,0
33,1.0000,2,-76.3243,18.4505,0.6268,113.3785,28.9009,0.0052,0.9761,17.4505,0
33,1.0000,3,-72.9500,20.7000,0.6605,130.2499,33.4000,0.0063,0.9817,19.7000,0
33,1.0000,4,-81.0542,15.2972,0.5795,89.7289,22.5944,0.0064,0.9682,19.7028,0
33,1.0000,5,-80.1928,15.8715,0.5881,94.0360,23.7429,0.0061,0.9697,19.1285,0
33,1.0000,6,-77.3526,17.7650,0.6165,108.2372,27.5299,0.0051,0.9744,17.2350,0
33,2.0000,0,-73.1778,20.5481,0.6582,129.1109,33.0962,0.0063,0.9814,19.5481,0
33,2.0000,1,-79.3012,16.4658,0.5970,98.4938,24.9317,0.0058,0.9712,18.5342,0
33,2.0000,2,-74.0097,19.9935,0.6499,124.9513,31.9870,0.0060,0.9800,18.9935,0
33,2.0000,3,-79.7528,16.1648,0.5925,96.2361,24.3296,0.0059,0.9704,18.8352,0
33,2.0000,4,-74.7781,19.4812,0.6422,121.1094,30.9625,0.0057,0.9787,18.4812,0
33,2.0000,5,-77.4656,17.6896,0.6153,107.6718,27.3792,0.0052,0.9742,17.3104,0
33,2.0000,6,-73.3066,20.4623,0.6569,128.4669,32.9245,0.0062,0.9812,19.4623,0
33,3.0000,0,-76.4719,18.3521,0.6253,112.6405,28.7041,0.0052,0.9759,17.3521,0
33,3.0000,1,-74.5297,19.6468,0.6447,122.3514,31.2937,0.0058,0.9791,18.6468,0
33,3.0000,2,-76.5848,18.2768,0.6242,112.0759,28.5536,0.0051,0.9757,17.2768,0
33,3.0000,3,-83.3092,13.7939,0.5569,78.4542,19.5878,0.0071,0.9645,21.2061,0
33,3.0000,4,-81.7455,14.8364,0.5725,86.2727,21.6727,0.0066,0.9671,20.1636,0
33,3.0000,5,-74.6042,19.5972,0.6440,121.9789,31.1944,0.0058,0.9790,18.5972,0
33,3.0000,6,-77.6011,17.5993,0.6140,106.9947,27.1986,0.0052,0.9740,17.4007,0
33,4.0000,0,-75.8462,18.7692,0.6315,115.7689,29.5384,0.0054,0.9769,17.7692,0
33,4.0000,1,-78.7134,16.8577,0.6029,101.4330,25.7155,0.0056,0.9721,18.1423,0
33,4.0000,2,-78.3436,17.1042,0.6066,103.2818,26.2085,0.0054,0.9728,17.8958,0
33,4.0000,3,-77.9768,17.3488,0.6102,105.1160,26.6976,0.0053,0.9734,17.6512,0
33,4.0000,4,-76.1031,18.5979,0.6290,114.4843,29.1958,0.0053,0.9765,17.5979,0
33,4.0000,5,-81.4092,15.0605,0.5759,87.9539,22.1210,0.0065,0.9677,19.9395,0
33,4.0000,6,-78.7765,16.8156,0.6022,101.1173,25.6313,0.0056,0.9720,18.1844,0
33,5.0000,0,-81.4047,15.0636,0.5760,87.9766,22.1271,0.0065,0.9677,19.9364,0
33,5.0000,1,-81.0087,15.3275,0.5799,89.9566,22.6551,0.0063,0.9683,19.6725,0
33,5.0000,2,-74.5385,19.6410,0.6446,122.3074,31.2820,0.0058,0.9791,18.6410,0
33,5.0000,3,-77.1332,17.9112,0.6187,109.3339,27.8224,0.0050,0.9748,17.0888,0
33,5.0000,4,-78.1495,17.2336,0.6085,104.2523,26.4673,0.0054,0.9731,17.7664,0
33,5.0000,5,-86.3981,11.7346,0.5260,63.0095,15.4692,0.0081,0.9593,23.2654,0
33,5.0000,6,-76.3466,18.4356,0.6265,113.2668,28.8712,0.0052,0.9761,17.4356,0
33,6.0000,0,-78.9617,16.6922,0.6004,100.1913,25.3844,0.0057,0.9717,18.3078,0
33,6.0000,1,-81.6357,14.9095,0.5736,86.8216,21.8191,0.0065,0.9673,20.0905,0
33,6.0000,2,-78.0805,17.2796,0.6092,104.5973,26.5593,0.0054,0.9732,17.7204,0
33,6.0000,3,-79.8395,16.1070,0.5916,95.8026,24.2140,0.0059,0.9703,18.8930,0
33,6.0000,4,-69.7083,22.8612,0.6929,146.4587,37.7223,0.0074,0.9872,21.8612,0
33,6.0000,5,-76.9447,18.0369,0.6206,110.2764,28.0737,0.0050,0.9751,17.0369,0
33,6.0000,6,-75.4837,19.0108,0.6352,117.5813,30.0217,0.0055,0.9775,18.0108,0
33,7.0000,0,-76.8578,18.0948,0.6214,110.7111,28.1896,0.0050,0.9752,17.0948,0
33,7.0000,1,-79.1541,16.5640,0.5985,99.2297,25.1279,0.0057,0.9714,18.4360,0
33,7.0000,2,-78.2271,17.1819,0.6077,103.8645,26.3639,0.0054,0.9730,17.8181,0
33,7.0000,3,-74.3034,19.7977,0.6470,123.4829,31.5954,0.0059,0.9795,18.7977,0
33,7.0000,4,-75.0486,19.3009,0.6395,119.7571,30.6019,0.0057,0.9783,18.3009,0
33,7.0000,5,-79.1361,16.5759,0.5986,99.3193,25.1518,0.0057,0.9714,18.4241,0
33,7.0000,6,-75.2691,19.1540,0.6373,118.6547,30.3079,0.0056,0.9779,18.1540,0
33,8.0000,0,-75.2957,19.1362,0.6370,118.5217,30.2725,0.0056,0.9778,18.1362,0
33,8.0000,1,-74.5478,19.6348,0.6445,122.2608,31.2695,0.0058,0.9791,18.6348,0
33,8.0000,2,-75.6446,18.9036,0.6336,116.7771,29.8072,0.0055,0.9773,17.9036,0
33,8.0000,3,-76.1056,18.5963,0.6289,114.4720,29.1925,0.0053,0.9765,17.5963,0
33,8.0000,4,-76.8334,18.1110,0.6217,110.8328,28.2221,0.0051,0.9753,17.1110,0
33,8.0000,5,-82.0690,14.6206,0.5693,84.6548,21.2413,0.0067,0.9666,20.3794,0
33,8.0000,6,-78.2384,17.1744,0.6076,103.8081,26.3488,0.0054,0.9729,17.8256,0
33,9.0000,0,-75.8798,18.7468,0.6312,115.6009,29.4936,0.0054,0.9769,17.7468,0
33,9.0000,1,-77.7858,17.4761,0.6121,106.0708,26.9522,0.0053,0.9737,17.5239,0
33,9.0000,2,-82.3740,14.4173,0.5663,83.1300,20.8347,0.0068,0.9660,20.5827,0
33,9.0000,3,-79.1706,16.5529,0.5983,99.1468,25.1058,0.0057,0.9714,18.4471,0
33,9.0000,4,-71.8654,21.4231,0.6713,135.6730,34.8461,0.0067,0.9836,20.4231,0
33,9.0000,5,-80.9281,15.3812,0.5807,90.3593,22.7625,0.0063,0.9685,19.6188,0
33,9.0000,6,-80.9686,15.3543,0.5803,90.1569,22.7085,0.0063,0.9684,19.6457,0
33,10.0000,0,-75.0712,19.2859,0.6393,119.6440,30.5717,0.0056,0.9782,18.2859,0
33,10.0000,1,-75.5642,18.9572,0.6344,117.1789,29.9144,0.0055,0.9774,17.9572,0
33,10.0000,2,-75.0394,19.3071,0.6396,119.8030,30.6141,0.0057,0.9783,18.3071,0
33,10.0000,3,-78.6023,16.9318,0.6040,101.9883,25.8635,0.0055,0.9723,18.0682,0
33,10.0000,4,-71.0821,21.9453,0.6792,139.5894,35.8905,0.0070,0.9849,20.9453,0
33,10.0000,5,-77.4845,17.6770,0.6152,107.5776,27.3540,0.0052,0.9742,17.3230,0
33,10.0000,6,-76.2855,18.4763,0.6271,113.5724,28.9526,0.0052,0.9762,17.4763,0
33,11.0000,0,-75.5427,18.9715,0.6346,117.2864,29.9430,0.0055,0.9774,17.9715,0
33,11.0000,1,-73.6685,20.2210,0.6533,126.6577,32.4420,0.0061,0.9806,19.2210,0
33,11.0000,2,-78.2089,17.1941,0.6079,103.9554,26.3881,0.0054,0.9730,17.8059,0
33,11.0000,3,-74.0000,20.0000,0.6500,124.9998,32.0000,0.0060,0.9800,19.0000,0
33,11.0000,4,-77.1282,17.9145,0.6187,109.3591,27.8291,0.0050,0.9748,17.0855,0
33,11.0000,5,-76.3079,18.4614,0.6269,113.4604,28.9228,0.0052,0.9762,17.4614,0
33,11.0000,6,-79.7620,16.1587,0.5924,96.1900,24.3173,0.0059,0.9704,18.8413,0
33,12.0000,0,-81.9833,14.6778,0.5702,85.0837,21.3557,0.0067,0.9667,20.3222,0
33,12.0000,1,-77.9711,17.3526,0.6103,105.1447,26.7053,0.0053,0.9734,17.6474,0
33,12.0000,2,-76.0861,18.6093,0.6291,114.5697,29.2186,0.0053,0.9765,17.6093,0
33,12.0000,3,-75.1494,19.2337,0.6385,119.2530,30.4675,0.0056,0.9781,18.2337,0
33,12.0000,4,-77.5450,17.6367,0.6146,107.2752,27.2734,0.0052,0.9741,17.3633,0
