trial,time,gnb_id,rsrp_avg_dbm,sinr_avg_db,prb_utilisation,dl_throughput_mbps,ul_throughput_mbps,packet_loss_rate,handover_success_rate,latency_avg_ms,fault_label
36,1.0000,0,-81.5717,14.9522,0.5743,87.1413,21.9044,0.0065,0.9674,20.0478,0
36,1.0000,1,-75.7198,18.8535,0.6328,116.4011,29.7070,0.0054,0.9771,17.8535,0
36,1.0000,2,-79.8186,16.1209,0.5918,95.9069,24.2418,0.0059,0.9703,18.8791,0
36,1.0000,3,-69.8606,22.7596,0.6914,145.6970,37.5192,0.0074,0.9869,21.7596,0
36,1.0000,4,-79.4716,16.3523,0.5953,97.6421,24.7046,0.0058,0.9709,18.6477,0
36,1.0000,5,-76.3994,18.4004,0.6260,113.0028,28.8007,0.0052,0.9760,17.4004,0
36,1.0000,6,-78.0817,17.2789,0.6092,104.5917,26.5578,0.0054,0.9732,17.7211,0
36,2.0000,0,-74.3284,19.7811,0.6467,123.3579,31.5621,0.0059,0.9795,18.7811,0
36,2.0000,1,-74.8680,19.4213,0.6413,120.6598,30.8426,0.0057,0.9786,18.4213,0
36,2.0000,2,-75.8647,18.7568,0.6314,115.6763,29.5137,0.0054,0.9769,17.7568,0
36,2.0000,3,-84.3850,13.0767,0.5462,73.0750,18.1533,0.0075,0.9627,21.9233,0
36,2.0000,4,-73.5999,20.2667,0.6540,127.0005,32.5335,0.0061,0.9807,19.2667,0
36,2.0000,5,-73.5439,20.3041,0.6546,127.2807,32.6082,0.0062,0.9808,19.3041,0
36,2.0000,6,-74.2469,19.8354,0.6475,123.7656,31.6708,0.0059,0.9796,18.8354,0
36,3.0000,0,-79.3322,16.4452,0.5967,98.3388,24.8904,0.0058,0.9711,18.5548,0
36,3.0000,1,-80.4671,15.6886,0.5853,92.6643,23.3772,0.0062,0.9692,19.3114,0
36,3.0000,2,-78.5153,16.9898,0.6048,102.4237,25.9797,0.0055,0.9725,18.0102,0
36,3.0000,3,-78.5776,16.9483,0.6042,102.1121,25.8966,0.0055,0.9724,18.0517,0
36,3.0000,4,-75.2379,19.1747,0.6376,118.8105,30.3495,0.0056,0.9779,18.1747,0
36,3.0000,5,-80.2411,15.8392,0.5876,93.7943,23.6785,0.0061,0.9696,19.1608,0
36,3.0000,6,-78.2580,17.1613,0.6074,103.7098,26.3226,0.0054,0.9729,17.8387,0
36,4.0000,0,-81.4617,15.0255,0.5754,87.6914,22.0510,0.0065,0.9676,19.9745,0
36,4.0000,1,-73.6002,20.2665,0.6540,126.9991,32.5331,0.0061,0.9807,19.2665,0
36,4.0000,2,-79.1106,16.5929,0.5989,99.4470,25.1859,0.0057,0.9715,18.4071,0
36,4.0000,3,-75.7407,18.8395,0.6326,116.2964,29.6790,0.0054,0.9771,17.8395,0
36,4.0000,4,-78.8928,16.7381,0.6011,100.5359,25.4762,0.0056,0.9718,18.2619,0
36,4.0000,5,-76.2444,18.5037,0.6276,113.7779,29.0074,0.0053,0.9763,17.5037,0
36,4.0000,6,-76.7599,18.1601,0.6224,111.2004,28.3201,0.0051,0.9754,17.1601,0
36,5.0000,0,-79.3423,16.4385,0.5966,98.2884,24.8769,0.0058,0.9711,18.5615,0
36,5.0000,1,-75.1190,19.2540,0.6388,119.4052,30.5081,0.0056,0.9781,18.2540,0
36,5.0000,2,-75.0078,19.3281,0.6399,119.9608,30.6562,0.0057,0.9783,18.3281,0
36,5.0000,3,-76.5577,18.2948,0.6244,112.2113,28.5897,0.0051,0.9757,17.2948,0
36,5.0000,4,-72.4611,21.0259,0.6654,132.6943,34.0518,0.0065,0.9826,20.0259,0
36,5.0000,5,-72.7329,20.8447,0.6627,131.3355,33.6895,0.0064,0.9821,19.8447,0
36,5.0000,6,-73.7340,20.1773,0.6527,126.3299,32.3546,0.0061,0.9804,19.1773,0
36,6.0000,0,-73.9087,20.0608,0.6509,125.4563,32.1217,0.0060,0.9802,19.0608,0
36,6.0000,1,-80.7348,15.5101,0.5827,91.3258,23.0202,0.0062,0.9688,19.4899,0
36,6.0000,2,-74.9524,19.3651,0.6405,120.2379,30.7301,0.0057,0.9784,18.3651,0
36,6.0000,3,-73.7386,20.1743,0.6526,126.3069,32.3485,0.0061,0.9804,19.1743,0
36,6.0000,4,-73.9489,20.0340,0.6505,125.2553,32.0681,0.0060,0.9801,19.0340,0
36,6.0000,5,-74.3664,19.7557,0.6463,123.1680,31.5115,0.0059,0.9794,18.7557,0
36,6.0000,6,-78.4646,17.0236,0.6054,102.6771,26.0472,0.0055,0.9726,17.9764,0
36,7.0000,0,-69.1504,23.2331,0.6985,149.2480,38.4661,0.0076,0.9881,22.2331,0
36,7.0000,1,-76.4137,18.3909,0.6259,112.9315,28.7817,0.0052,0.9760,17.3909,0
36,7.0000,2,-82.0408,14.6395,0.5696,84.7961,21.2790,0.0067,0.9666,20.3605,0
36,7.0000,3,-74.6291,19.5806,0.6437,121.8546,31.1612,0.0058,0.9790,18.5806,0
36,7.0000,4,-71.0783,21.9478,0.6792,139.6083,35.8955,0.0070,0.9849,20.9478,0
36,7.0000,5,-77.6929,17.5380,0.6131,106.5354,27.0761,0.0052,0.9738,17.4620,0
36,7.0000,6,-77.0291,17.9806,0.6197,109.8547,27.9613,0.0050,0.9750,17.0194,0
36,8.0000,0,-78.5146,16.9903,0.6049,102.4272,25.9806,0.0055,0.9725,18.0097,0
36,8.0000,1,-80.1778,15.8815,0.5882,94.1109,23.7629,0.0061,0.9697,19.1185,0
36,8.0000,2,-73.6160,20.2560,0.6538,126.9199,32.5120,0.0061,0.9806,19.2560,0
36,8.0000,3,-78.1230,17.2513,0.6088,104.3849,26.5027,0.0054,0.9731,17.7487,0
36,8.0000,4,-79.2260,16.5160,0.5977,98.8698,25.0320,0.0057,0.9713,18.4840,0
36,8.0000,5,-79.9186,16.0543,0.5908,95.4069,24.1085,0.0060,0.9701,18.9457,0
36,8.0000,6,-75.5748,18.9501,0.6343,117.1259,29.9002,0.0055,0.9774,17.9501,0
36,9.0000,0,-76.2207,18.5195,0.6278,113.8965,29.0391,0.0053,0.9763,17.5195,0
36,9.0000,1,-74.1808,19.8795,0.6482,124.0959,31.7589,0.0059,0.9797,18.8795,0
36,9.0000,2,-77.5096,17.6602,0.6149,107.4518,27.3205,0.0052,0.9742,17.3398,0
36,9.0000,3,-76.8777,18.0815,0.6212,110.6115,28.1631,0.0050,0.9752,17.0815,0
36,9.0000,4,-80.5055,15.6630,0.5849,92.4726,23.3260,0.0062,0.9692,19.3370,0
36,9.0000,5,-76.8886,18.0743,0.6211,110.5569,28.1485,0.0050,0.9752,17.0743,0
36,9.0000,6,-78.5516,16.9656,0.6045,102.2422,25.9312,0.0055,0.9724,18.0344,0
36,10.0000,0,-77.5588,17.6275,0.6144,107.2061,27.2550,0.0052,0.9741,17.3725,0
36,10.0000,1,-74.7873,19.4752,0.6421,121.0636,30.9503,0.0057,0.9787,18.4752,0
36,10.0000,2,-77.7700,17.4867,0.6123,106.1500,26.9733,0.0053,0.9737,17.5133,0
36,10.0000,3,-79.2867,16.4755,0.5971,98.5666,24.9511,0.0058,0.9712,18.5245,0
36,10.0000,4,-74.7627,19.4915,0.6424,121.1866,30.9831,0.0057,0.9787,18.4915,0
36,10.0000,5,-74.0882,19.9412,0.6491,124.5590,31.8824,0.0060,0.9799,18.9412,0
36,10.0000,6,-76.7308,18.1795,0.6227,111.3461,28.3590,0.0051,0.9754,17.1795,0
36,11.0000,0,-74.8723,19.4185,0.6413,120.6385,30.8369,0.0057,0.9785,18.4185,0
36,11.0000,1,-76.9721,18.0186,0.6203,110.1393,28.0371,0.0050,0.9750,17.0186,0
36,11.0000,2,-79.5650,16.2900,0.5944,97.1751,24.5800,0.0059,0.9707,18.7100,0
36,11.0000,3,-77.7646,17.4903,0.6124,106.1771,26.9806,0.0053,0.9737,17.5097,0
36,11.0000,4,-75.0326,19.3116,0.6397,119.8371,30.6232,0.0057,0.9783,18.3116,0
36,11.0000,5,-77.9664,17.3557,0.6103,105.1678,26.7114,0.0053,0.9734,17.6443,0
36,11.0000,6,-77.6293,17.5804,0.6137,106.8534,27.1609,0.0052,0.9740,17.4196,0
36,12.0000,0,-71.0373,21.9752,0.6796,139.8137,35.9503,0.0070,0.9849,20.9752,0
36,12.0000,1,-72.7820,20.8120,0.6622,131.0899,33.6240,0.0064,0.9820,19.8120,0
36,12.0000,2,-77.1626,17.8916,0.6184,109.1870,27.7832,0.0051,0.9747,17.1084,0
36,12.0000,3,-72.6902,20.8732,0.6631,131.5488,33.7464,0.0064,0.9822,19.8732,0
36,12.0000,4,-74.3897,19.7402,0.6461,123.0516,31.4804,0.0059,0.9794,18.7402,0
36,12.0000,5,-73.4291,20.3806,0.6557,127.8545,32.7612,0.0062,0.9810,19.3806,0
36,12.0000,6,-76.3330,18.4447,0.6267,113.3352,28.8894,0.0052,0.9761,17.4447,0
36,13.0000,0,-74.7850,19.4766,0.6421,121.0748,30.9533,0.0057,0.9787,18.4766,0
36,13.0000,1,-75.0110,19.3260,0.6399,119.9449,30.6520,0.0057,0.9783,18.3260,0
36,13.0000,2,-75.0624,19.2918,0.6394,119.6882,30.5835,0.0056,0.9782,18.2918,0
36,13.0000,3,-77.6647,17.5569,0.6134,106.6765,27.1137,0.0052,0.9739,17.4431,0
36,13.0000,4,-76.3698,18.4201,0.6263,113.1511,28.8403,0.0052,0.9761,17.4201,0
36,13.0000,5,-78.8258,16.7828,0.6017,100.8708,25.5656,0.0056,0.9720,18.2172,0
36,13.0000,6,-75.5038,18.9975,0.6350,117.4812,29.9950,0.0055,0.9775,17.9975,0
36,14.0000,0,-74.9537,19.3642,0.6405,120.2317,30.7285,0.0057,0.9784,18.3642,0
36,14.0000,1,-71.3625,21.7584,0.6764,138.1876,35.5167,0.0069,0.9844,20.7584,0
